titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: ICASSP_2016_11_abs (by g),136.0,33.0,41.0,39.0,21.0,18.0,11.0,4.0,1.1165936787923178e-06,1.2404725154240925,1.681402846177419,0.38661038080851234,0.16768619219462078,2.49304035504659,0.00020021994908650715,5.969413626194
Title: N06-1037 (by g),105.0,22.0,33.0,32.0,18.0,14.0,6.0,2.0,1.0848045349121093e-06,0.9168543855349223,1.2041821320851644,0.36277989149093626,0.0844587524731954,2.2332198580106097,0.00014128287633260092,4.8016373872756954
Title: P05-2013 (by g),69.0,16.0,19.0,8.0,3.0,5.0,10.0,9.0,9.854634602864584e-07,0.6793117801348368,0.7068689823150635,0.22386258045832316,0.050672797362009685,1.097840150197347,9.266138076782226e-05,2.7586499373118083
Title: C04-1128 (by g),106.0,24.0,27.0,27.0,14.0,13.0,6.0,1.0,1.2834866841634116e-06,0.7688336928685506,1.1531534473101297,0.37057331403096516,0.10377758344014486,2.4489770968755087,0.00013975302378336588,4.845456171035766
Title: CVPR_2006_10_abs (by g),165.0,31.0,39.0,30.0,19.0,11.0,12.0,7.0,1.1642773946126303e-06,1.3299020171165465,1.4276244997978211,0.39295279582341514,0.15974044402440388,2.2712556680043536,0.00017381906509399413,5.581650408109029
Title: NIPS_2002_11_abs (by g),118.0,23.0,26.0,36.0,10.0,26.0,11.0,5.0,1.2675921122233072e-06,1.0274165193239848,1.1761497815450033,0.4193983515103658,0.08626949787139893,1.666490085919698,0.00012674729029337565,4.375852251052857
Title: P06-3007 (by g),63.0,14.0,15.0,20.0,14.0,6.0,1.0,0.0,9.854634602864584e-07,0.9683525244394938,0.5487768610318502,0.23374406894048055,0.04607149362564087,1.6404513756434123,9.785095850626628e-05,3.437495160102844
Title: ICCV_2013_25_abs (by g),107.0,21.0,25.0,21.0,17.0,4.0,6.0,6.0,1.1642773946126303e-06,1.2731958707173665,1.099903686841329,0.3695905844370524,0.08834370374679565,2.1182765483856203,0.0001450816790262858,4.949456640084585
Title: P05-1076 (by g),125.0,32.0,43.0,40.0,22.0,18.0,9.0,2.0,1.0013580322265625e-06,1.3032106479008994,1.6817332228024802,0.3742674986521403,0.1548156976699829,2.8567895253499347,0.0002088626225789388,6.371026456356049
Title: C04-1103 (by g),111.0,24.0,27.0,41.0,18.0,23.0,6.0,1.0,1.2000401814778646e-06,1.3108720183372498,1.1814060807228088,0.449684997399648,0.09507985115051269,2.247885803381602,0.0001528024673461914,5.285082753499349
Title: NIPS_2002_18_abs (by g),110.0,26.0,27.0,22.0,15.0,7.0,10.0,6.0,1.4503796895345051e-06,1.176998233795166,1.3005440990130106,0.35644388596216836,0.10753493309020996,2.4278931180636087,0.000145264466603597,5.369560984770457
Title: C86-1081 (by g),88.0,18.0,21.0,15.0,7.0,8.0,9.0,2.0,9.973843892415365e-07,0.6980823715527852,0.8010289112726847,0.3804209550221761,0.05407819350560506,1.6463422020276388,0.00010011593500773112,3.580053746700287
Title: P03-1070 (by g),101.0,21.0,21.0,27.0,15.0,12.0,4.0,1.0,1.0649363199869792e-06,0.9969667315483093,0.8308776378631592,0.2703545331954956,0.09049338499704997,1.9905238389968871,0.0001450181007385254,4.17936220963796
Title: P05-1056 (by g),174.0,34.0,42.0,46.0,27.0,19.0,7.0,3.0,1.0848045349121093e-06,1.4991295218467713,1.432457975546519,0.4235296010971069,0.1668172319730123,2.920196270942688,0.00019644896189371746,6.442328135172526
Title: CVPR_2011_11_abs (by g),165.0,32.0,37.0,31.0,24.0,7.0,11.0,7.0,1.2516975402832031e-06,1.4091855525970458,1.4757078170776368,1.2951628645261128,0.207598872979482,2.7706252853075664,0.0001817623774210612,7.158463406562805
Title: ICML_2016_10_abs (by g),143.0,36.0,44.0,45.0,34.0,11.0,9.0,4.0,1.418590545654297e-06,1.5074377139409383,1.699074431260427,0.889475150903066,0.1545376976331075,3.1297533909479776,0.00023831923802693686,7.380518122514089
Title: C04-1011 (by g),74.0,11.0,15.0,13.0,11.0,2.0,2.0,0.0,1.1285146077473958e-06,0.8516119162241618,0.6214815894762675,0.28432393868764244,0.04418232043584188,1.1253615975379945,8.076826731363932e-05,2.9270432591438293
Title: ECCV_2006_13_abs (by g),238.0,59.0,67.0,72.0,43.0,29.0,26.0,9.0,1.0371208190917968e-06,1.6708114902178446,2.711729021867116,0.7624826153119405,0.5706727186838786,4.495663022994995,0.00029834906260172524,10.211658255259197
Title: N04-1022 (by g),102.0,26.0,29.0,29.0,19.0,10.0,6.0,2.0,1.0331471761067708e-06,1.4218797167142232,1.121700898806254,0.3232753276824951,0.09768828153610229,2.6311750531196596,0.000158083438873291,5.595878394444783
Title: E89-1016 (by g),158.0,37.0,43.0,58.0,26.0,32.0,7.0,2.0,1.0848045349121093e-06,1.518609627087911,1.5456530412038167,0.3719442327817281,0.17352692286173502,2.8884361386299133,0.00020935138066609701,6.498380398750305
Title: E06-1022 (by g),88.0,21.0,26.0,28.0,21.0,7.0,3.0,0.0,1.1682510375976563e-06,0.8807587186495464,1.1552005171775819,0.43739047447840373,0.0803029179573059,2.136999003092448,0.00014893213907877603,4.690801731745402
Title: I05-5004 (by g),70.0,14.0,15.0,16.0,12.0,4.0,4.0,3.0,1.0848045349121093e-06,0.6353886365890503,0.8652916669845581,0.19874486525853474,0.0466857632001241,1.5582982977231343,8.974870045979818e-05,3.3045000632603965
Title: H01-1042 (by g),236.0,46.0,64.0,74.0,35.0,39.0,12.0,3.0,1.3470649719238282e-06,1.858281381924947,2.191852362950643,0.6522669156392416,0.3635895649592082,4.010400581359863,0.0002702633539835612,9.076662417252859
Title: C04-1035 (by g),128.0,28.0,32.0,35.0,18.0,17.0,6.0,1.0,6.381670633951823e-06,1.0885756333669028,1.392859939734141,0.4648756146430969,0.08816570043563843,2.557550589243571,0.00018056233723958334,5.5922144214312235
Title: C04-1036 (by g),102.0,25.0,31.0,32.0,12.0,20.0,11.0,4.0,5.14984130859375e-06,0.8344822804133097,1.2095914562543233,0.3227025032043457,0.0869834303855896,2.174707241853078,0.00015311241149902345,4.628625174363454
Title: CVPR_2011_10_abs (by g),117.0,28.0,36.0,34.0,18.0,16.0,8.0,2.0,4.633267720540365e-06,1.169988505045573,1.3931800325711567,0.47734595139821373,0.08846805095672608,2.5868208130200703,0.00018796920776367187,5.715995955467224
Title: ECCV_2012_30_abs (by g),129.0,30.0,33.0,27.0,19.0,8.0,9.0,4.0,4.633267720540365e-06,1.2207289377848307,1.3266954223314922,0.3852872490882874,0.15880160729090373,2.864984901746114,0.0001605669657389323,5.956663318475088
Title: P08-1105 (by g),119.0,23.0,31.0,24.0,15.0,9.0,6.0,2.0,4.522005716959635e-06,0.9402119199434916,1.213665235042572,0.3427966038386027,0.08286025126775105,1.958429213364919,0.0001624623934427897,4.538130207856496
Title: ICML_2006_119_abs (by g),178.0,41.0,50.0,52.0,21.0,31.0,16.0,4.0,5.1816304524739586e-06,1.3855244239171347,1.8627557158470154,0.5798906524976094,0.2893941362698873,3.806145711739858,0.00023438533147176108,7.923950207233429
Title: P04-2005 (by g),128.0,30.0,36.0,35.0,18.0,17.0,14.0,7.0,4.434585571289063e-06,1.1886322021484375,1.2881490508715312,0.4490204413731893,0.17201091845830283,2.487948485215505,0.0001661976178487142,5.585931730270386
Title: NIPS_2016_560_abs (by g),178.0,35.0,49.0,34.0,24.0,10.0,10.0,5.0,4.553794860839844e-06,1.6379588842391968,1.977087954680125,0.6091459115346273,0.1921368678410848,2.7247406005859376,0.0002502719561258952,7.141325044631958
Title: P06-1053 (by g),79.0,26.0,29.0,22.0,14.0,8.0,8.0,5.0,4.597504933675131e-06,0.876009734471639,1.2504616181055705,0.3265981952349345,0.08819671869277954,1.9325971643129984,0.00013866424560546876,4.474006692568461
Title: CVPR_2016_413_abs (by g),167.0,34.0,39.0,39.0,28.0,11.0,8.0,5.0,4.800160725911458e-06,1.1903146862983705,1.5239132205645243,0.4558211207389832,0.1740997632344564,3.2702320496241253,0.0002351045608520508,6.614620745182037
Title: ICML_1995_38_abs (by g),129.0,31.0,36.0,37.0,19.0,18.0,12.0,4.0,5.849202473958334e-06,1.0510454853375752,1.2979107260704041,0.3247030735015869,0.19912881056467693,2.3564170082410176,0.00020133256912231446,5.229412285486857
Title: P06-4007 (by g),68.0,15.0,19.0,14.0,7.0,7.0,5.0,2.0,4.732608795166016e-06,0.7048420071601867,0.750753911336263,0.24085910320281984,0.05998217264811198,1.3141478657722474,9.408394495646159e-05,3.0706838766733804
Title: E99-1015 (by g),78.0,18.0,25.0,18.0,9.0,9.0,8.0,2.0,8.630752563476563e-06,0.9215047121047973,0.8373270750045776,0.20132931073506674,0.05509179433186849,1.4250126163164774,0.00012261867523193358,3.440396757920583
Title: CVPR_2004_18_abs (by g),95.0,24.0,27.0,21.0,9.0,12.0,10.0,4.0,4.99884287516276e-06,1.0957092960675558,1.0366138219833374,0.22061773538589477,0.08930310010910034,2.1812512636184693,0.00014896392822265624,4.623649179935455
Title: J86-4002 (by g),187.0,47.0,64.0,61.0,36.0,25.0,13.0,7.0,4.680951436360677e-06,1.8327457149823507,2.213982089360555,0.5838633298873901,0.30000729163487755,3.558171614011129,0.000292662779490153,8.489067383607228
Title: P06-1013 (by g),77.0,20.0,24.0,14.0,10.0,4.0,8.0,7.0,4.867712656656901e-06,0.9418403148651123,0.8232703765233358,0.24702115058898927,0.09327593644460043,1.5612547993659973,0.00012883345286051432,3.6667962789535524
Title: P05-1046 (by g),152.0,33.0,37.0,33.0,18.0,15.0,13.0,5.0,4.78823979695638e-06,1.0621351242065429,1.3565877079963684,0.3487273891766866,0.17463828722635905,2.648488903045654,0.0002191305160522461,5.59080133040746
